NAME,data_type,type,year,percent,Vot
Kentucky,Exemption,Any Exemption,2012,0.6,NA
Kentucky,Exemption,Any Exemption,2018,1.4,NA
Kentucky,Exemption,Any Exemption,2017,1.1,NA
Kentucky,Exemption,Any Exemption,2016,0.9,NA
Kentucky,Exemption,Any Exemption,2015,0.9,NA
Kentucky,Exemption,Any Exemption,2014,0.9,NA
Kentucky,Exemption,Any Exemption,2013,0.7,NA
Kentucky,Exemption,Medical Exemption,2014,0.3,NA
Kentucky,Exemption,Medical Exemption,2013,0.2,NA
Kentucky,Exemption,Medical Exemption,2012,0.2,NA
Kentucky,Exemption,Medical Exemption,2011,NA,NA
Kentucky,Exemption,Medical Exemption,2022,0.2,NA
Kentucky,Exemption,Medical Exemption,2021,0.2,NA
Kentucky,Exemption,Medical Exemption,2019,0.3,NA
Kentucky,Exemption,Medical Exemption,2020,0.5,NA
Kentucky,Exemption,Any Exemption,2025,2.2,NA
Kentucky,Exemption,Non-Medical Exemption,2025,2,NA
Kentucky,Exemption,Medical Exemption,2025,0.1,NA
Kentucky,Exemption,Any Exemption,2024,2.3,NA
Kentucky,Exemption,Non-Medical Exemption,2024,2,NA
Kentucky,Exemption,Medical Exemption,2024,0.2,NA
Kentucky,Exemption,Non-Medical Exemption,2013,0.5,NA
Kentucky,Exemption,Non-Medical Exemption,2012,0.4,NA
Kentucky,Exemption,Non-Medical Exemption,2011,NA,NA
Kentucky,Exemption,Non-Medical Exemption,2010,0.3,NA
Kentucky,Exemption,Non-Medical Exemption,2015,0.7,NA
Kentucky,Exemption,Non-Medical Exemption,2014,0.6,NA
Kentucky,Exemption,Non-Medical Exemption,2016,0.7,NA
Kentucky,Exemption,Any Exemption,2019,1.4,NA
New Mexico,Exemption,Any Exemption,2022,1.4,NA
New Mexico,Exemption,Any Exemption,2010,0.7,NA
New Mexico,Exemption,Non-Medical Exemption,2022,1.1,NA
New Mexico,Exemption,Any Exemption,2021,0.9,NA
New Mexico,Exemption,Any Exemption,2020,1.5,NA
New Mexico,Exemption,Any Exemption,2012,2,NA
New Mexico,Exemption,Any Exemption,2018,1.7,NA
New Mexico,Exemption,Any Exemption,2017,2.3,NA
New Mexico,Exemption,Any Exemption,2011,NA,NA
New Mexico,Exemption,Any Exemption,2019,1.5,NA
New Mexico,Exemption,Medical Exemption,2022,0.3,NA
New Mexico,Exemption,Non-Medical Exemption,2013,0.2,NA
New Mexico,Exemption,Non-Medical Exemption,2012,2,NA
New Mexico,Exemption,Non-Medical Exemption,2011,NA,NA
New Mexico,Exemption,Non-Medical Exemption,2010,0.7,NA
New Mexico,Exemption,Non-Medical Exemption,2015,1.2,NA
New Mexico,Exemption,Non-Medical Exemption,2014,0.9,NA
New Mexico,Exemption,Non-Medical Exemption,2016,1.2,NA
New Mexico,Exemption,Non-Medical Exemption,2020,1.3,NA
New Mexico,Exemption,Non-Medical Exemption,2021,0.8,NA
New Mexico,Exemption,Non-Medical Exemption,2019,1.2,NA
New Mexico,Exemption,Non-Medical Exemption,2018,1.5,NA
New Mexico,Exemption,Non-Medical Exemption,2017,2.2,NA
New Mexico,Exemption,Medical Exemption,2024,0.1,NA
New Mexico,Exemption,Non-Medical Exemption,2024,1.4,NA
New Mexico,Exemption,Any Exemption,2024,1.6,NA
New Mexico,Exemption,Medical Exemption,2025,0.1,NA
New Mexico,Exemption,Any Exemption,2025,2,NA
New Mexico,Exemption,Non-Medical Exemption,2025,1.9,NA
New Mexico,Exemption,Medical Exemption,2010,NA,NA
New Mexico,Exemption,Medical Exemption,2014,0.2,NA
New Mexico,Exemption,Medical Exemption,2013,0.2,NA
New Mexico,Exemption,Medical Exemption,2012,0.1,NA
New Mexico,Exemption,Medical Exemption,2011,NA,NA
New Mexico,Exemption,Medical Exemption,2021,0.1,NA
New Mexico,Exemption,Medical Exemption,2019,0.3,NA
New Mexico,Exemption,Medical Exemption,2020,0.2,NA
New Mexico,Exemption,Medical Exemption,2018,0.2,NA
New Mexico,Exemption,Medical Exemption,2017,0.1,NA
New Mexico,Exemption,Medical Exemption,2016,0.1,NA
New Mexico,Exemption,Medical Exemption,2015,0.1,NA
New Mexico,Exemption,Any Exemption,2016,1.3,NA
New Mexico,Exemption,Any Exemption,2015,1.2,NA
New Mexico,Exemption,Any Exemption,2014,1.1,NA
New Mexico,Exemption,Any Exemption,2013,0.4,NA
Pennsylvania,Exemption,Any Exemption,2020,3,NA
Pennsylvania,Exemption,Any Exemption,2021,2.7,NA
Pennsylvania,Exemption,Non-Medical Exemption,2022,3,NA
Pennsylvania,Exemption,Any Exemption,2010,3.1,NA
Pennsylvania,Exemption,Medical Exemption,2022,0.3,NA
Pennsylvania,Exemption,Non-Medical Exemption,2016,1.8,NA
Pennsylvania,Exemption,Non-Medical Exemption,2014,1.7,NA
Pennsylvania,Exemption,Non-Medical Exemption,2015,1.8,NA
Pennsylvania,Exemption,Non-Medical Exemption,2010,2,NA
Pennsylvania,Exemption,Non-Medical Exemption,2011,NA,NA
Pennsylvania,Exemption,Non-Medical Exemption,2012,1.4,NA
Pennsylvania,Exemption,Non-Medical Exemption,2013,1.5,NA
Pennsylvania,Exemption,Any Exemption,2014,2,NA
Pennsylvania,Exemption,Any Exemption,2013,2,NA
Pennsylvania,Exemption,Any Exemption,2015,2.1,NA
Pennsylvania,Exemption,Any Exemption,2016,2.2,NA
Pennsylvania,Exemption,Any Exemption,2017,2.3,NA
Pennsylvania,Exemption,Any Exemption,2018,2.8,NA
Pennsylvania,Exemption,Any Exemption,2012,1.8,NA
Pennsylvania,Exemption,Any Exemption,2011,NA,NA
Pennsylvania,Exemption,Medical Exemption,2010,1.2,NA
Pennsylvania,Exemption,Medical Exemption,2011,NA,NA
Pennsylvania,Exemption,Medical Exemption,2012,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2013,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2014,0.3,NA
Pennsylvania,Exemption,Medical Exemption,2015,0.3,NA
Pennsylvania,Exemption,Medical Exemption,2016,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2017,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2018,0.5,NA
Pennsylvania,Exemption,Medical Exemption,2020,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2019,0.4,NA
Pennsylvania,Exemption,Medical Exemption,2021,0.3,NA
Pennsylvania,Exemption,Non-Medical Exemption,2020,2.6,NA
Pennsylvania,Exemption,Non-Medical Exemption,2021,2.5,NA
Pennsylvania,Exemption,Non-Medical Exemption,2018,2.4,NA
Pennsylvania,Exemption,Non-Medical Exemption,2019,2.6,NA
Pennsylvania,Exemption,Non-Medical Exemption,2017,1.9,NA
Pennsylvania,Exemption,Medical Exemption,2025,0.3,NA
Pennsylvania,Exemption,Non-Medical Exemption,2025,5.6,NA
Pennsylvania,Exemption,Any Exemption,2025,6,NA
Pennsylvania,Exemption,Any Exemption,2019,2.9,NA
Pennsylvania,Exemption,Any Exemption,2022,3.3,NA
Pennsylvania,Exemption,Medical Exemption,2024,0.3,NA
Pennsylvania,Exemption,Non-Medical Exemption,2024,4.7,NA
Pennsylvania,Exemption,Any Exemption,2024,5,NA
North Carolina,Exemption,Any Exemption,2023,2.4,NA
North Carolina,Exemption,Medical Exemption,2023,0.1,NA
North Carolina,Exemption,Non-Medical Exemption,2023,2.3,NA
North Carolina,Exemption,Any Exemption,2024,2.9,NA
North Carolina,Exemption,Non-Medical Exemption,2024,2.8,NA
North Carolina,Exemption,Medical Exemption,2024,0.1,NA
New York,Exemption,Medical Exemption,2015,0.1,NA
New York,Exemption,Medical Exemption,2016,0.1,NA
New York,Exemption,Medical Exemption,2017,0.2,NA
New York,Exemption,Medical Exemption,2018,0.2,NA
New York,Exemption,Any Exemption,2010,0.6,NA
New York,Exemption,Medical Exemption,2010,0.1,NA
New York,Exemption,Medical Exemption,2011,NA,NA
New York,Exemption,Medical Exemption,2012,0.1,NA
New York,Exemption,Medical Exemption,2013,0.1,NA
New York,Exemption,Medical Exemption,2014,0.1,NA
New York,Exemption,Medical Exemption,2020,0.1,NA
New York,Exemption,Medical Exemption,2019,0.1,NA
New York,Exemption,Medical Exemption,2021,0.1,NA
New York,Exemption,Any Exemption,2022,0.1,NA
New York,Exemption,Any Exemption,2011,NA,NA
New York,Exemption,Any Exemption,2017,1,NA
New York,Exemption,Any Exemption,2018,1.1,NA
New York,Exemption,Any Exemption,2013,0.7,NA
New York,Exemption,Any Exemption,2014,0.8,NA
New York,Exemption,Any Exemption,2015,0.8,NA
New York,Exemption,Any Exemption,2016,0.9,NA
New York,Exemption,Any Exemption,2020,0.1,NA
New York,Exemption,Any Exemption,2021,0.1,NA
New York,Exemption,Any Exemption,2019,1.3,NA
New York,Exemption,Any Exemption,2025,0.3,NA
New York,Exemption,Medical Exemption,2025,0.3,NA
New York,Exemption,Any Exemption,2024,0.1,NA
New York,Exemption,Medical Exemption,2024,0.1,NA
New York,Exemption,Medical Exemption,2022,0.1,NA
New York,Exemption,Non-Medical Exemption,2016,0.7,NA
New York,Exemption,Non-Medical Exemption,2014,0.6,NA
New York,Exemption,Non-Medical Exemption,2015,0.7,NA
New York,Exemption,Non-Medical Exemption,2010,0.5,NA
New York,Exemption,Non-Medical Exemption,2011,NA,NA
New York,Exemption,Non-Medical Exemption,2012,0.5,NA
New York,Exemption,Non-Medical Exemption,2013,0.6,NA
New York,Exemption,Any Exemption,2012,0.7,NA
New York,Exemption,Non-Medical Exemption,2017,0.9,NA
New York,Exemption,Non-Medical Exemption,2018,1,NA
New York,Exemption,Non-Medical Exemption,2019,1.1,NA
Indiana,Exemption,Non-Medical Exemption,2023,2.5,NA
Indiana,Exemption,Medical Exemption,2023,0.2,NA
Indiana,Exemption,Any Exemption,2023,2.8,NA
Louisiana,Exemption,Non-Medical Exemption,2023,2.1,NA
Louisiana,Exemption,Medical Exemption,2023,0.1,NA
Louisiana,Exemption,Any Exemption,2023,2.3,NA
Utah,Exemption,Any Exemption,2023,8.1,NA
Utah,Exemption,Medical Exemption,2023,0.1,NA
Utah,Exemption,Non-Medical Exemption,2023,8,NA
