NAME,data_type,type,year,percent,Vot
Missouri,Exemption,Medical Exemption,2021,0.2,NA
Missouri,Exemption,Medical Exemption,2019,0.2,NA
Missouri,Exemption,Medical Exemption,2020,0.2,NA
Missouri,Exemption,Medical Exemption,2018,0.2,NA
Missouri,Exemption,Medical Exemption,2017,0.2,NA
Missouri,Exemption,Medical Exemption,2016,0.2,NA
Missouri,Exemption,Medical Exemption,2015,0.2,NA
Missouri,Exemption,Medical Exemption,2014,0.2,NA
Missouri,Exemption,Medical Exemption,2013,0.3,NA
Missouri,Exemption,Medical Exemption,2012,0.6,NA
Missouri,Exemption,Medical Exemption,2011,NA,NA
Missouri,Exemption,Medical Exemption,2010,NA,NA
Missouri,Exemption,Non-Medical Exemption,2020,2.5,NA
Missouri,Exemption,Non-Medical Exemption,2021,2.4,NA
Missouri,Exemption,Non-Medical Exemption,2019,2.5,NA
Missouri,Exemption,Non-Medical Exemption,2018,2.1,NA
Missouri,Exemption,Non-Medical Exemption,2017,NA,NA
Missouri,Exemption,Non-Medical Exemption,2013,1.5,NA
Missouri,Exemption,Non-Medical Exemption,2012,1.8,NA
Missouri,Exemption,Non-Medical Exemption,2011,NA,NA
Missouri,Exemption,Non-Medical Exemption,2010,NA,NA
Missouri,Exemption,Non-Medical Exemption,2015,1.8,NA
Missouri,Exemption,Non-Medical Exemption,2014,1.6,NA
Missouri,Exemption,Non-Medical Exemption,2016,1.7,NA
Missouri,Exemption,Any Exemption,2024,4.7,NA
Missouri,Exemption,Non-Medical Exemption,2024,4.5,NA
Missouri,Exemption,Medical Exemption,2024,0.2,NA
Missouri,Exemption,Non-Medical Exemption,2025,5,NA
Missouri,Exemption,Any Exemption,2025,5.2,NA
Missouri,Exemption,Medical Exemption,2025,0.2,NA
Nevada,Exemption,Medical Exemption,2011,NA,NA
Nevada,Exemption,Medical Exemption,2012,0.2,NA
Nevada,Exemption,Medical Exemption,2013,0.7,NA
Nevada,Exemption,Medical Exemption,2014,0.1,NA
Nevada,Exemption,Medical Exemption,2010,1,NA
Nevada,Exemption,Medical Exemption,2015,0.3,NA
Nevada,Exemption,Medical Exemption,2016,0.1,NA
Nevada,Exemption,Medical Exemption,2017,0.1,NA
Nevada,Exemption,Medical Exemption,2018,0.1,NA
Nevada,Exemption,Medical Exemption,2020,0.5,NA
Nevada,Exemption,Medical Exemption,2019,0.2,NA
Nevada,Exemption,Medical Exemption,2021,0.8,NA
Nevada,Exemption,Any Exemption,2013,2.5,NA
Nevada,Exemption,Any Exemption,2014,2,NA
Nevada,Exemption,Any Exemption,2015,1.3,NA
Nevada,Exemption,Any Exemption,2016,2,NA
Nevada,Exemption,Any Exemption,2020,4,NA
Nevada,Exemption,Any Exemption,2021,4.4,NA
Nevada,Exemption,Any Exemption,2019,3.3,NA
Nevada,Exemption,Any Exemption,2022,4.8,NA
Nevada,Exemption,Non-Medical Exemption,2016,1.9,NA
Nevada,Exemption,Non-Medical Exemption,2014,2,NA
Nevada,Exemption,Non-Medical Exemption,2015,1.1,NA
Nevada,Exemption,Non-Medical Exemption,2010,1,NA
Nevada,Exemption,Non-Medical Exemption,2011,NA,NA
Nevada,Exemption,Non-Medical Exemption,2012,1.5,NA
Nevada,Exemption,Non-Medical Exemption,2013,1.8,NA
Nevada,Exemption,Medical Exemption,2022,0.4,NA
Nevada,Exemption,Non-Medical Exemption,2017,4.3,NA
Nevada,Exemption,Non-Medical Exemption,2018,3.1,NA
Nevada,Exemption,Non-Medical Exemption,2019,3.2,NA
Nevada,Exemption,Non-Medical Exemption,2021,3.6,NA
Nevada,Exemption,Non-Medical Exemption,2020,3.5,NA
Nevada,Exemption,Any Exemption,2017,4.4,NA
Nevada,Exemption,Any Exemption,2018,3.2,NA
Nevada,Exemption,Any Exemption,2012,1.8,NA
Nevada,Exemption,Any Exemption,2011,NA,NA
Nevada,Exemption,Non-Medical Exemption,2022,4.4,NA
Nevada,Exemption,Any Exemption,2010,2,NA
Nevada,Exemption,Any Exemption,2024,7.1,NA
Nevada,Exemption,Non-Medical Exemption,2024,6.2,NA
Nevada,Exemption,Medical Exemption,2024,0.9,NA
Nevada,Exemption,Non-Medical Exemption,2025,6.7,NA
Nevada,Exemption,Any Exemption,2025,7.1,NA
Nevada,Exemption,Medical Exemption,2025,0.5,NA
Wyoming,Exemption,Any Exemption,2023,4.8,NA
Wyoming,Exemption,Non-Medical Exemption,2023,4.6,NA
Wyoming,Exemption,Medical Exemption,2023,0.2,NA
Wyoming,Exemption,Medical Exemption,2014,NA,NA
Wyoming,Exemption,Medical Exemption,2013,0.3,NA
Wyoming,Exemption,Medical Exemption,2011,NA,NA
Wyoming,Exemption,Medical Exemption,2012,NA,NA
Wyoming,Exemption,Medical Exemption,2010,NA,NA
Wyoming,Exemption,Medical Exemption,2021,NR,NA
Wyoming,Exemption,Medical Exemption,2020,0.3,NA
Wyoming,Exemption,Medical Exemption,2019,0.2,NA
Wyoming,Exemption,Medical Exemption,2018,NA,NA
Wyoming,Exemption,Medical Exemption,2017,NA,NA
Wyoming,Exemption,Medical Exemption,2016,0.2,NA
Wyoming,Exemption,Medical Exemption,2015,0.3,NA
Wyoming,Exemption,Any Exemption,2022,3.9,NA
Wyoming,Exemption,Any Exemption,2020,3.5,NA
Wyoming,Exemption,Any Exemption,2021,3,NA
Wyoming,Exemption,Any Exemption,2018,NA,NA
Wyoming,Exemption,Any Exemption,2019,2.9,NA
Wyoming,Exemption,Non-Medical Exemption,2022,3.7,NA
Wyoming,Exemption,Any Exemption,2010,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2016,2.2,NA
Wyoming,Exemption,Any Exemption,2011,NA,NA
Wyoming,Exemption,Any Exemption,2012,NA,NA
Wyoming,Exemption,Any Exemption,2016,2.7,NA
Wyoming,Exemption,Any Exemption,2015,2.5,NA
Wyoming,Exemption,Any Exemption,2014,NA,NA
Wyoming,Exemption,Any Exemption,2013,2.3,NA
Wyoming,Exemption,Any Exemption,2017,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2018,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2019,2.7,NA
Wyoming,Exemption,Non-Medical Exemption,2021,NR,NA
Wyoming,Exemption,Non-Medical Exemption,2020,3.2,NA
Wyoming,Exemption,Non-Medical Exemption,2015,2.2,NA
Wyoming,Exemption,Non-Medical Exemption,2014,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2013,1.9,NA
Wyoming,Exemption,Non-Medical Exemption,2012,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2011,NA,NA
Wyoming,Exemption,Non-Medical Exemption,2010,NA,NA
Wyoming,Exemption,Medical Exemption,2022,0.2,NA
Wyoming,Exemption,Non-Medical Exemption,2017,NA,NA
Wyoming,Exemption,Any Exemption,2025,5.9,NA
Wyoming,Exemption,Non-Medical Exemption,2025,5.7,NA
Wyoming,Exemption,Medical Exemption,2025,0.2,NA
Wyoming,Exemption,Medical Exemption,2024,0.2,NA
Wyoming,Exemption,Non-Medical Exemption,2024,5.4,NA
Wyoming,Exemption,Any Exemption,2024,5.6,NA
Idaho,Exemption,Any Exemption,2012,5.4,NA
Idaho,Exemption,Any Exemption,2013,5.9,NA
Idaho,Exemption,Any Exemption,2014,6.4,NA
Idaho,Exemption,Any Exemption,2015,6.5,NA
Idaho,Exemption,Any Exemption,2016,6.1,NA
Idaho,Exemption,Any Exemption,2017,6.5,NA
Idaho,Exemption,Any Exemption,2018,7.1,NA
Idaho,Exemption,Any Exemption,2022,9.8,NA
Idaho,Exemption,Any Exemption,2019,7.7,NA
Idaho,Exemption,Any Exemption,2020,7.6,NA
Idaho,Exemption,Any Exemption,2021,8.2,NA
Idaho,Exemption,Any Exemption,2011,NA,NA
Idaho,Exemption,Non-Medical Exemption,2022,9.2,NA
Idaho,Exemption,Any Exemption,2010,3.8,NA
Idaho,Exemption,Non-Medical Exemption,2010,3.5,NA
Idaho,Exemption,Non-Medical Exemption,2011,NA,NA
Idaho,Exemption,Non-Medical Exemption,2012,5.1,NA
Idaho,Exemption,Non-Medical Exemption,2013,5.5,NA
Idaho,Exemption,Non-Medical Exemption,2014,6.1,NA
Idaho,Exemption,Non-Medical Exemption,2015,6.2,NA
Idaho,Exemption,Non-Medical Exemption,2016,5.8,NA
Idaho,Exemption,Non-Medical Exemption,2017,6.2,NA
Idaho,Exemption,Non-Medical Exemption,2018,6.7,NA
Idaho,Exemption,Non-Medical Exemption,2019,7.4,NA
Idaho,Exemption,Non-Medical Exemption,2021,7.9,NA
Idaho,Exemption,Non-Medical Exemption,2020,7.2,NA
Idaho,Exemption,Medical Exemption,2015,0.3,NA
Idaho,Exemption,Medical Exemption,2016,0.3,NA
Idaho,Exemption,Medical Exemption,2017,0.4,NA
Idaho,Exemption,Medical Exemption,2018,0.4,NA
Idaho,Exemption,Medical Exemption,2011,NA,NA
Idaho,Exemption,Medical Exemption,2012,0.3,NA
Idaho,Exemption,Medical Exemption,2014,0.4,NA
Idaho,Exemption,Medical Exemption,2013,0.4,NA
Idaho,Exemption,Medical Exemption,2020,0.3,NA
Idaho,Exemption,Medical Exemption,2019,0.4,NA
Idaho,Exemption,Medical Exemption,2021,0.3,NA
Idaho,Exemption,Medical Exemption,2022,0.5,NA
Idaho,Exemption,Medical Exemption,2010,0.3,NA
Idaho,Exemption,Medical Exemption,2024,0.4,NA
Idaho,Exemption,Non-Medical Exemption,2024,13.9,NA
Idaho,Exemption,Any Exemption,2024,14.3,NA
Idaho,Exemption,Medical Exemption,2025,0.3,NA
Idaho,Exemption,Non-Medical Exemption,2025,15.1,NA
Idaho,Exemption,Any Exemption,2025,15.4,NA
Vermont,Exemption,Non-Medical Exemption,2021,3.1,NA
Vermont,Exemption,Non-Medical Exemption,2020,3.5,NA
Vermont,Exemption,Non-Medical Exemption,2019,4.4,NA
Vermont,Exemption,Non-Medical Exemption,2018,3.6,NA
Vermont,Exemption,Non-Medical Exemption,2017,3.7,NA
Vermont,Exemption,Medical Exemption,2022,0.1,NA
Vermont,Exemption,Non-Medical Exemption,2010,5.3,NA
Vermont,Exemption,Non-Medical Exemption,2011,NA,NA
Vermont,Exemption,Non-Medical Exemption,2012,5.4,NA
Vermont,Exemption,Non-Medical Exemption,2013,5.7,NA
Vermont,Exemption,Non-Medical Exemption,2014,6.1,NA
Vermont,Exemption,Non-Medical Exemption,2015,5.9,NA
Vermont,Exemption,Non-Medical Exemption,2016,5.5,NA
Vermont,Exemption,Any Exemption,2021,3.2,NA
Vermont,Exemption,Any Exemption,2020,3.7,NA
Vermont,Exemption,Medical Exemption,2019,0.3,NA
Vermont,Exemption,Medical Exemption,2020,0.1,NA
Vermont,Exemption,Medical Exemption,2021,0.1,NA
Vermont,Exemption,Any Exemption,2019,4.7,NA
Vermont,Exemption,Any Exemption,2022,3.3,NA
Vermont,Exemption,Any Exemption,2013,6.1,NA
Vermont,Exemption,Any Exemption,2014,6.2,NA
Vermont,Exemption,Any Exemption,2015,6.1,NA
Vermont,Exemption,Any Exemption,2016,5.7,NA
Vermont,Exemption,Any Exemption,2017,3.9,NA
Vermont,Exemption,Any Exemption,2018,3.8,NA
Vermont,Exemption,Any Exemption,2012,5.7,NA
Vermont,Exemption,Any Exemption,2011,NA,NA
Vermont,Exemption,Non-Medical Exemption,2022,3.2,NA
Vermont,Exemption,Any Exemption,2010,5.8,NA
Vermont,Exemption,Medical Exemption,2015,0.2,NA
Vermont,Exemption,Medical Exemption,2016,0.1,NA
Vermont,Exemption,Medical Exemption,2017,0.2,NA
Vermont,Exemption,Medical Exemption,2018,0.2,NA
Vermont,Exemption,Medical Exemption,2010,0.5,NA
Vermont,Exemption,Medical Exemption,2012,0.3,NA
Vermont,Exemption,Medical Exemption,2011,NA,NA
Vermont,Exemption,Medical Exemption,2013,0.4,NA
Vermont,Exemption,Medical Exemption,2014,0.2,NA
Vermont,Exemption,Any Exemption,2024,4,NA
Vermont,Exemption,Non-Medical Exemption,2024,3.8,NA
Vermont,Exemption,Medical Exemption,2024,0.2,NA
Vermont,Exemption,Any Exemption,2025,3.9,NA
Vermont,Exemption,Non-Medical Exemption,2025,3.7,NA
Vermont,Exemption,Medical Exemption,2025,0.2,NA
Iowa,Exemption,Any Exemption,2023,3,NA
Iowa,Exemption,Medical Exemption,2023,0.2,NA
Iowa,Exemption,Non-Medical Exemption,2023,2.8,NA
Georgia,Exemption,Non-Medical Exemption,2023,3.7,NA
Georgia,Exemption,Medical Exemption,2023,0.1,NA
Georgia,Exemption,Any Exemption,2023,3.8,NA
Kansas,Exemption,Non-Medical Exemption,2023,2.6,NA
Kansas,Exemption,Medical Exemption,2023,0.3,NA
Kansas,Exemption,Any Exemption,2023,2.9,NA
Idaho,Exemption,Non-Medical Exemption,2023,11.5,NA
Idaho,Exemption,Medical Exemption,2023,0.5,NA
Idaho,Exemption,Any Exemption,2023,12.1,NA
Michigan,Exemption,Medical Exemption,2025,0.3,NA
Michigan,Exemption,Any Exemption,2025,6.8,NA
Michigan,Exemption,Non-Medical Exemption,2025,6.5,NA
Michigan,Exemption,Non-Medical Exemption,2017,3.5,NA
Michigan,Exemption,Non-Medical Exemption,2018,4,NA
Michigan,Exemption,Non-Medical Exemption,2019,4.3,NA
Michigan,Exemption,Non-Medical Exemption,2021,3.5,NA
Michigan,Exemption,Non-Medical Exemption,2020,4.2,NA
Michigan,Exemption,Medical Exemption,2024,0.2,NA
Michigan,Exemption,Non-Medical Exemption,2024,5.4,NA
Michigan,Exemption,Any Exemption,2024,5.6,NA
Nebraska,Exemption,Non-Medical Exemption,2023,2.1,NA
Nebraska,Exemption,Any Exemption,2023,2.6,NA
Nebraska,Exemption,Medical Exemption,2023,0.5,NA
Massachusetts,Exemption,Any Exemption,2023,1.4,NA
Massachusetts,Exemption,Medical Exemption,2023,0.2,NA
Massachusetts,Exemption,Non-Medical Exemption,2023,1.2,NA
Alaska,Exemption,Medical Exemption,2023,0.7,NA
Alaska,Exemption,Any Exemption,2023,5.7,NA
Alaska,Exemption,Non-Medical Exemption,2023,5,NA
Maryland,Exemption,Any Exemption,2012,0.9,NA
Maryland,Exemption,Any Exemption,2017,1.4,NA
Maryland,Exemption,Any Exemption,2018,1.5,NA
Maryland,Exemption,Any Exemption,2013,1,NA
Maryland,Exemption,Any Exemption,2014,1,NA
Maryland,Exemption,Any Exemption,2015,1.2,NA
Maryland,Exemption,Any Exemption,2016,1.3,NA
Maryland,Exemption,Any Exemption,2011,NA,NA
Maryland,Exemption,Any Exemption,2010,0.8,NA
Maryland,Exemption,Non-Medical Exemption,2022,1,NA
Maryland,Exemption,Any Exemption,2020,1.4,NA
Maryland,Exemption,Any Exemption,2021,0.9,NA
Maryland,Exemption,Any Exemption,2022,1.5,NA
Maryland,Exemption,Non-Medical Exemption,2017,0.9,NA
Maryland,Exemption,Non-Medical Exemption,2018,0.9,NA
Maryland,Exemption,Non-Medical Exemption,2019,1.1,NA
Maryland,Exemption,Non-Medical Exemption,2021,0.8,NA
Maryland,Exemption,Non-Medical Exemption,2020,1,NA
Maryland,Exemption,Any Exemption,2019,1.5,NA
Maryland,Exemption,Medical Exemption,2022,0.5,NA
Maryland,Exemption,Medical Exemption,2010,0.3,NA
Maryland,Exemption,Medical Exemption,2011,NA,NA
Maryland,Exemption,Medical Exemption,2012,0.3,NA
Maryland,Exemption,Medical Exemption,2014,0.3,NA
Maryland,Exemption,Medical Exemption,2013,0.3,NA
Maryland,Exemption,Medical Exemption,2015,0.4,NA
Maryland,Exemption,Medical Exemption,2016,0.5,NA
Maryland,Exemption,Medical Exemption,2017,0.5,NA
Maryland,Exemption,Medical Exemption,2018,0.6,NA
Maryland,Exemption,Non-Medical Exemption,2016,0.8,NA
Maryland,Exemption,Non-Medical Exemption,2014,0.7,NA
Maryland,Exemption,Non-Medical Exemption,2015,0.8,NA
Maryland,Exemption,Non-Medical Exemption,2010,0.5,NA
Maryland,Exemption,Non-Medical Exemption,2011,NA,NA
Maryland,Exemption,Non-Medical Exemption,2012,0.6,NA
Maryland,Exemption,Non-Medical Exemption,2013,0.7,NA
Maryland,Exemption,Medical Exemption,2020,0.4,NA
Maryland,Exemption,Medical Exemption,2019,0.4,NA
Maryland,Exemption,Medical Exemption,2021,0.2,NA
Maryland,Exemption,Medical Exemption,2025,0.5,NA
Maryland,Exemption,Any Exemption,2025,2.2,NA
Maryland,Exemption,Non-Medical Exemption,2025,1.7,NA
Maryland,Exemption,Medical Exemption,2024,0.7,NA
Maryland,Exemption,Non-Medical Exemption,2024,1.5,NA
Maryland,Exemption,Any Exemption,2024,2.2,NA
Texas,Exemption,Medical Exemption,2023,0.2,NA
Texas,Exemption,Non-Medical Exemption,2023,3.3,NA
Montana,Exemption,Any Exemption,2012,3,NA
Montana,Exemption,Any Exemption,2011,NA,NA
Montana,Exemption,Any Exemption,2017,3.7,NA
Montana,Exemption,Any Exemption,2018,4.3,NA
Montana,Exemption,Any Exemption,2020,4.3,NA
Montana,Exemption,Any Exemption,2021,3.5,NA
Montana,Exemption,Non-Medical Exemption,2017,3.3,NA
Montana,Exemption,Non-Medical Exemption,2018,3.9,NA
Montana,Exemption,Non-Medical Exemption,2019,4.2,NA
Montana,Exemption,Non-Medical Exemption,2021,3.3,NA
Montana,Exemption,Non-Medical Exemption,2020,4,NA
Montana,Exemption,Non-Medical Exemption,2016,3.4,NA
Montana,Exemption,Non-Medical Exemption,2013,3.3,NA
Montana,Exemption,Non-Medical Exemption,2015,3.6,NA
Montana,Exemption,Non-Medical Exemption,2010,2.2,NA
Montana,Exemption,Non-Medical Exemption,2011,NA,NA
Montana,Exemption,Non-Medical Exemption,2012,2.6,NA
Montana,Exemption,Non-Medical Exemption,2013,3,NA
Montana,Exemption,Any Exemption,2019,4.5,NA
Montana,Exemption,Medical Exemption,2015,0.3,NA
Montana,Exemption,Medical Exemption,2016,0.4,NA
Montana,Exemption,Medical Exemption,2017,0.4,NA
Montana,Exemption,Medical Exemption,2018,0.4,NA
Montana,Exemption,Medical Exemption,2010,1,NA
Montana,Exemption,Medical Exemption,2020,0.2,NA
Montana,Exemption,Medical Exemption,2019,0.2,NA
Montana,Exemption,Medical Exemption,2021,0.2,NA
Montana,Exemption,Any Exemption,2013,3.5,NA
Montana,Exemption,Any Exemption,2014,3.6,NA
Montana,Exemption,Any Exemption,2015,3.9,NA
Montana,Exemption,Any Exemption,2016,3.8,NA
Montana,Exemption,Any Exemption,2010,3.1,NA
Montana,Exemption,Medical Exemption,2011,NA,NA
Montana,Exemption,Medical Exemption,2012,0.4,NA
Montana,Exemption,Medical Exemption,2013,0.4,NA
Montana,Exemption,Medical Exemption,2014,0.3,NA
Vermont,Exemption,Non-Medical Exemption,2023,3.3,NA
Vermont,Exemption,Medical Exemption,2023,0.2,NA
Vermont,Exemption,Any Exemption,2023,3.6,NA
Mississippi,Exemption,Medical Exemption,2023,0.2,NA
Mississippi,Exemption,Any Exemption,2023,0.2,NA
Ohio,Exemption,Any Exemption,2023,3.8,NA
Ohio,Exemption,Medical Exemption,2023,0.2,NA
Ohio,Exemption,Non-Medical Exemption,2023,3.6,NA
Tennessee,Exemption,Any Exemption,2021,1.9,NA
Tennessee,Exemption,Any Exemption,2020,2,NA
Tennessee,Exemption,Any Exemption,2022,2.4,NA
Tennessee,Exemption,Any Exemption,2019,1.9,NA
Tennessee,Exemption,Any Exemption,2013,1.2,NA
Tennessee,Exemption,Any Exemption,2014,1.1,NA
Tennessee,Exemption,Any Exemption,2015,1.1,NA
Tennessee,Exemption,Any Exemption,2016,1.1,NA
Tennessee,Exemption,Any Exemption,2017,1.3,NA
Tennessee,Exemption,Any Exemption,2018,1.5,NA
Tennessee,Exemption,Any Exemption,2012,0.7,NA
Tennessee,Exemption,Any Exemption,2011,NA,NA
Tennessee,Exemption,Non-Medical Exemption,2010,0.5,NA
Tennessee,Exemption,Non-Medical Exemption,2011,NA,NA
Tennessee,Exemption,Non-Medical Exemption,2012,0.5,NA
Tennessee,Exemption,Non-Medical Exemption,2013,1.1,NA
Tennessee,Exemption,Non-Medical Exemption,2014,1,NA
Tennessee,Exemption,Non-Medical Exemption,2015,0.9,NA
Tennessee,Exemption,Non-Medical Exemption,2016,0.9,NA
Tennessee,Exemption,Non-Medical Exemption,2021,1.8,NA
Tennessee,Exemption,Non-Medical Exemption,2020,1.9,NA
Tennessee,Exemption,Non-Medical Exemption,2019,1.8,NA
Tennessee,Exemption,Non-Medical Exemption,2018,1.4,NA
Tennessee,Exemption,Non-Medical Exemption,2017,1.1,NA
Tennessee,Exemption,Non-Medical Exemption,2022,2.3,NA
Tennessee,Exemption,Any Exemption,2010,0.5,NA
Tennessee,Exemption,Medical Exemption,2019,0.2,NA
Tennessee,Exemption,Medical Exemption,2020,0.1,NA
Tennessee,Exemption,Medical Exemption,2021,0.1,NA
Tennessee,Exemption,Medical Exemption,2015,0.2,NA
Tennessee,Exemption,Medical Exemption,2016,0.1,NA
Tennessee,Exemption,Medical Exemption,2017,0.1,NA
Tennessee,Exemption,Medical Exemption,2018,0.1,NA
Tennessee,Exemption,Medical Exemption,2022,0.1,NA
Tennessee,Exemption,Medical Exemption,2012,0.2,NA
Tennessee,Exemption,Medical Exemption,2011,NA,NA
Tennessee,Exemption,Medical Exemption,2014,0.2,NA
Tennessee,Exemption,Medical Exemption,2013,0.2,NA
Tennessee,Exemption,Medical Exemption,2010,NA,NA
Louisiana,Exemption,Any Exemption,2020,1.5,NA
Louisiana,Exemption,Any Exemption,2021,1.1,NA
Louisiana,Exemption,Any Exemption,2022,1.1,NA
Louisiana,Exemption,Non-Medical Exemption,2017,0.7,NA
Louisiana,Exemption,Non-Medical Exemption,2018,1,NA
Louisiana,Exemption,Non-Medical Exemption,2019,1.1,NA
Louisiana,Exemption,Non-Medical Exemption,2021,1,NA
Louisiana,Exemption,Non-Medical Exemption,2020,1.3,NA
Louisiana,Exemption,Any Exemption,2019,1.2,NA
Louisiana,Exemption,Any Exemption,2017,0.8,NA
Louisiana,Exemption,Any Exemption,2018,1.1,NA
Louisiana,Exemption,Any Exemption,2013,0.7,NA
Louisiana,Exemption,Any Exemption,2014,0.8,NA
Louisiana,Exemption,Any Exemption,2015,0.6,NA
Louisiana,Exemption,Any Exemption,2016,0.8,NA
Louisiana,Exemption,Any Exemption,2011,NA,NA
Louisiana,Exemption,Any Exemption,2010,0.8,NA
Louisiana,Exemption,Non-Medical Exemption,2022,1.1,NA
Louisiana,Exemption,Medical Exemption,2010,0.3,NA
Louisiana,Exemption,Medical Exemption,2015,0.1,NA
Louisiana,Exemption,Medical Exemption,2016,0.1,NA
Louisiana,Exemption,Medical Exemption,2017,0.1,NA
Louisiana,Exemption,Medical Exemption,2018,0.1,NA
Louisiana,Exemption,Medical Exemption,2011,NA,NA
Louisiana,Exemption,Medical Exemption,2012,0.2,NA
Louisiana,Exemption,Medical Exemption,2013,0.2,NA
Louisiana,Exemption,Medical Exemption,2014,0.1,NA
Louisiana,Exemption,Medical Exemption,2020,0.2,NA
Louisiana,Exemption,Medical Exemption,2019,0.1,NA
Louisiana,Exemption,Medical Exemption,2021,0.1,NA
Louisiana,Exemption,Medical Exemption,2022,0,NA
Louisiana,Exemption,Any Exemption,2012,0.8,NA
Louisiana,Exemption,Non-Medical Exemption,2016,0.6,NA
Louisiana,Exemption,Non-Medical Exemption,2014,0.7,NA
Louisiana,Exemption,Non-Medical Exemption,2015,0.6,NA
Louisiana,Exemption,Non-Medical Exemption,2010,0.5,NA
Louisiana,Exemption,Non-Medical Exemption,2011,NA,NA
Louisiana,Exemption,Non-Medical Exemption,2012,0.6,NA
Louisiana,Exemption,Non-Medical Exemption,2013,0.5,NA
Louisiana,Exemption,Medical Exemption,2024,0.1,NA
Louisiana,Exemption,Non-Medical Exemption,2024,2.7,NA
Louisiana,Exemption,Any Exemption,2024,2.8,NA
Louisiana,Exemption,Medical Exemption,2025,0.1,NA
Louisiana,Exemption,Non-Medical Exemption,2025,3,NA
Louisiana,Exemption,Any Exemption,2025,3.1,NA
Minnesota,Exemption,Any Exemption,2023,4.5,NA
Minnesota,Exemption,Medical Exemption,2023,0.1,NA
Minnesota,Exemption,Non-Medical Exemption,2023,4.3,NA
Maryland,Exemption,Non-Medical Exemption,2023,1.4,NA
Maryland,Exemption,Medical Exemption,2023,0.5,NA
Maryland,Exemption,Any Exemption,2023,1.9,NA
Virginia,Exemption,Any Exemption,2023,2.2,NA
Virginia,Exemption,Medical Exemption,2023,0.3,NA
Virginia,Exemption,Non-Medical Exemption,2023,1.9,NA
Hawaii,Exemption,Any Exemption,2022,3.4,NA
Hawaii,Exemption,Any Exemption,2010,3.6,NA
Hawaii,Exemption,Non-Medical Exemption,2022,3.3,NA
Hawaii,Exemption,Any Exemption,2019,4.4,NA
Hawaii,Exemption,Any Exemption,2018,3.1,NA
Hawaii,Exemption,Any Exemption,2017,2.8,NA
Hawaii,Exemption,Any Exemption,2016,2.9,NA
Hawaii,Exemption,Any Exemption,2015,3.3,NA
Hawaii,Exemption,Any Exemption,2014,3.2,NA
Hawaii,Exemption,Any Exemption,2013,2.5,NA
Hawaii,Exemption,Any Exemption,2012,3.9,NA
Hawaii,Exemption,Any Exemption,2011,NA,NA
Hawaii,Exemption,Any Exemption,2021,3.7,NA
Hawaii,Exemption,Any Exemption,2020,6.1,NA
Hawaii,Exemption,Any Exemption,2025,5.5,NA
Hawaii,Exemption,Non-Medical Exemption,2025,5.4,NA
Hawaii,Exemption,Medical Exemption,2025,0.2,NA
Hawaii,Exemption,Any Exemption,2024,5.3,NA
Hawaii,Exemption,Non-Medical Exemption,2024,5.3,NA
Hawaii,Exemption,Medical Exemption,2024,0.1,NA
Hawaii,Exemption,Medical Exemption,2022,0.1,NA
Hawaii,Exemption,Medical Exemption,2021,0.2,NA
Hawaii,Exemption,Medical Exemption,2019,0.1,NA
Hawaii,Exemption,Medical Exemption,2020,0.2,NA
Hawaii,Exemption,Medical Exemption,2010,0.1,NA
Hawaii,Exemption,Medical Exemption,2014,0.1,NA
Hawaii,Exemption,Medical Exemption,2013,0.3,NA
Hawaii,Exemption,Medical Exemption,2012,0.1,NA
Hawaii,Exemption,Medical Exemption,2011,NA,NA
Hawaii,Exemption,Medical Exemption,2018,0.1,NA
Hawaii,Exemption,Medical Exemption,2017,0.1,NA
Hawaii,Exemption,Medical Exemption,2016,0.4,NA
Hawaii,Exemption,Medical Exemption,2015,0.1,NA
Hawaii,Exemption,Non-Medical Exemption,2016,2.5,NA
Hawaii,Exemption,Non-Medical Exemption,2015,3.3,NA
Hawaii,Exemption,Non-Medical Exemption,2014,3.2,NA
Hawaii,Exemption,Non-Medical Exemption,2013,2.2,NA
Hawaii,Exemption,Non-Medical Exemption,2012,3.8,NA
Hawaii,Exemption,Non-Medical Exemption,2011,NA,NA
Hawaii,Exemption,Non-Medical Exemption,2010,3.5,NA
Hawaii,Exemption,Non-Medical Exemption,2020,5.9,NA
Hawaii,Exemption,Non-Medical Exemption,2021,3.5,NA
Hawaii,Exemption,Non-Medical Exemption,2019,4.4,NA
Hawaii,Exemption,Non-Medical Exemption,2018,3.1,NA
Hawaii,Exemption,Non-Medical Exemption,2017,2.7,NA
Arizona,Exemption,Non-Medical Exemption,2023,7.4,NA
Arizona,Exemption,Any Exemption,2023,7.4,NA
Arizona,Exemption,Medical Exemption,2023,0.1,NA
Tennessee,Exemption,Non-Medical Exemption,2023,3,NA
Tennessee,Exemption,Medical Exemption,2023,0.2,NA
Tennessee,Exemption,Any Exemption,2023,3.2,NA
Tennessee,Exemption,Any Exemption,2024,3.6,NA
Tennessee,Exemption,Non-Medical Exemption,2024,3.4,NA
Tennessee,Exemption,Medical Exemption,2024,0.1,NA
Tennessee,Exemption,Any Exemption,2025,3.8,NA
